videoid;titulo;data;dia_semana;intervalo;duracao;views;curtidas;nao_curtidas;comentarios
1;STAR WARS TIE FIGHTER - Jujuba ATÔMICA;04/01/2016;Segunda-Feira;0;06:09;15918;2166;11;139
2;RESENHA As Cavernas de Aço (Isaac Asimov) - Jujuba ATÔMICA;29/01/2016;Sexta-Feira;25;06:13;22594;3245;4;74
3;10 CURIOSIDADES sobre O DESPERTAR DA FORÇA;29/01/2016;Sexta-Feira;0;09:27;19749;2416;5;52
4;Tudo Sobre DEADPOOL;08/02/2016;Segunda-Feira;10;08:33;84428;7279;27;125
5;O Perigo da INTELIGÊNCIA ARTIFICIAL;29/02/2016;Segunda-Feira;21;07:52;84479;10970;67;486
6;Harry Potter / Nasa / Time Trap - Jujuba NEWS;10/03/2016;Quinta-Feira;10;04:50;1610;256;2;8
7;RESENHA Ruas Estranhas (George R. R. Martin) - Jujuba ATÔMICA;21/03/2016;Segunda-Feira;11;11:03;27796;3401;12;91
8;Tudo Sobre Rogue One: Uma História Star Wars | Jujuba ATÔMICA;25/03/2016;Sexta-Feira;4;09:02;7479;791;2;22
9;Batman v Superman REVIEW (SEM SPOILERS);01/04/2016;Sexta-Feira;7;07:59;26230;3030;24;207
10;Teaser Rogue One: Uma História Star Wars (COMENTADO) | Jujuba ATÔMICA;08/04/2016;Sexta-Feira;7;11:35;3716;371;0;16
11;Trailer Esquadrão Suicida (COMENTADO) | Jujuba ATÔMICA;15/04/2016;Sexta-Feira;7;11:30;45315;5228;73;395
12;10 Curiosidades Sobre STAR TREK;21/04/2016;Quinta-Feira;6;12:43;82972;9092;81;395
13;Capitão América: Guerra Civil (REVIEW SEM SPOILERS);29/04/2016;Sexta-Feira;8;09:59;33255;3439;48;263
14;Teorias de Game of Thrones;06/05/2016;Sexta-Feira;7;14:35;25806;2562;8;213
15;Cena do FLASH (EXPLICADA);14/05/2016;Sábado;8;11:06;445738;35536;349;1697
16;Game of Thrones - quinto episódio - sexta temporada (COMENTÁRIOS) | Jujuba ATÔMICA;23/05/2016;Segunda-Feira;9;06:33;5405;450;2;103
17;A GUERRA DOS MUNDOS de ORSON WELLES;27/05/2016;Sexta-Feira;4;09:27;63855;8101;28;303
18;Game of Thrones - sexto episódio - sexta temporada (COMENTÁRIOS) | Jujuba ATÔMICA;30/05/2016;Segunda-Feira;3;08:52;4022;415;2;64
19;Cena do CYBORG (EXPLICADA);04/06/2016;Sábado;5;07:36;215793;18534;106;524
20;Game of Thrones - sétimo episódio - sexta temporada (COMENTÁRIOS) | Jujuba ATÔMICA;06/06/2016;Segunda-Feira;2;07:59;4922;485;1;74
21;Game of Thrones - oitavo episódio - sexta temporada (COMENTÁRIOS) | Jujuba ATÔMICA;13/06/2016;Segunda-Feira;7;13:12;4744;544;2;92
22;Como STEVEN SPIELBERG inventou o BLOCKBUSTER;17/06/2016;Sexta-Feira;4;11:58;38092;5578;23;169
23;Game of Thrones - episódio 9 - sexta temporada (COMENTÁRIOS) | Jujuba ATÔMICA;20/06/2016;Segunda-Feira;3;14:55;12422;877;6;117
24;Independence Day Resurgence REVIEW (SEM SPOILERS) | Jujuba ATÔMICA;24/06/2016;Sexta-Feira;4;11:36;18616;2477;5;186
25;Game of Thrones temporada 6 - episódio 10 (REVIEW) | Jujuba ATÔMICA;27/06/2016;Segunda-Feira;3;18:50;14966;1129;13;168
26;DOUTOR ESTRANHO | Origem;03/07/2016;Domingo;6;17:51;184950;16610;116;473
27;AS JOIAS DO INFINITO;08/07/2016;Sexta-Feira;5;14:49;401624;41250;208;1267
28;Onde Está o Gendry? | GAME OF THRONES;14/07/2016;Quinta-Feira;6;11:15;14933;1134;28;167
29;Tudo Sobre o ESQUADRÃO SUICIDA;23/07/2016;Sábado;9;15:07;54570;5332;32;177
30;LIGA DA JUSTIÇA | Trailer Comentado;29/07/2016;Sexta-Feira;6;14:06;148299;11506;62;550
31;Trailer MULHER MARAVILHA 1 (Comentado);02/08/2016;Terça-Feira;4;11:40;21451;2742;5;169
32;ESQUADRÃO SUICIDA (Análise SEM SPOILERS);06/08/2016;Sábado;4;12:28;32009;3871;56;612
33;ROGUE ONE Trailer 1 (COMENTADO);13/08/2016;Sábado;7;11:01;6071;1054;2;139
34;DAENERYS TARGARYEN | GAME OF THRONES;16/08/2016;Terça-Feira;3;11:46;9261;1167;2;99
35;NIKOLA TESLA;21/08/2016;Domingo;5;12:10;153665;24901;61;1539
36;THOR RAGNAROK - Fotos do Set e Teorias;26/08/2016;Sexta-Feira;5;09:15;105832;9138;47;433
37;Cena do EXTERMINADOR (DEATHSTROKE);30/08/2016;Terça-Feira;4;04:52;66561;6819;18;468
38;Star Trek Sem Fronteiras | REVIEW (SEM SPOILERS);02/09/2016;Sexta-Feira;3;09:37;15960;2297;6;158
39;Tudo sobre o EXTERMINADOR (DEATHSTROKE);06/09/2016;Terça-Feira;4;08:07;284956;30867;170;823
40;STRANGER THINGS Segunda Temporada (Notícias e Teorias);10/09/2016;Sábado;4;12:46;73746;6514;46;457
41;Todas as Tropas de LANTERNAS da DC;16/09/2016;Sexta-Feira;6;14:31;705216;69296;499;1750
42;TYRION LANNISTER | GAME OF THRONES;25/09/2016;Domingo;9;11:24;13508;1735;8;153
43;LUKE CAGE | ORIGEM;30/09/2016;Sexta-Feira;5;08:39;90511;9071;48;265
44;PIRATAS DO CARIBE: A Vingança de Salazar TEASER TRAILER (REVIEW);04/10/2016;Terça-Feira;4;07:04;77884;5710;55;377
45;LIGA DA JUSTIÇA Cenas do SET liberadas por ZACK SNYDER (ANÁLISE);08/10/2016;Sábado;4;08:01;157299;12428;141;653
46;POWER RANGERS 2017 Teaser | COMENTADO;11/10/2016;Terça-Feira;3;07:23;73875;6807;38;402
47;PUNHO DE FERRO (Origem) | Estreia da NETFLIX;14/10/2016;Sexta-Feira;3;08:38;140089;13347;76;456
48;ROGUE ONE Trailer 2 | REVIEW;16/10/2016;Domingo;2;09:21;7049;1220;4;199
49;GUARDIÕES DA GALÁXIA 2 Teaser | ANÁLISE;20/10/2016;Quinta-Feira;4;08:16;19740;2667;6;264
50;Trailer LOGAN | ANÁLISE;26/10/2016;Quarta-Feira;6;11:17;80651;7746;18;366
51;O Homem Que Caiu na Terra | RESENHA;28/10/2016;Sexta-Feira;2;07:45;35407;4736;10;182
52;DARKSEID | Origem;02/11/2016;Quarta-Feira;5;09:32;419627;37523;249;1235
53;DOUTOR ESTRANHO Crítica;04/11/2016;Sexta-Feira;2;08:22;48303;4920;32;242
54;MULHER MARAVILHA Trailer 2 | ANÁLISE;06/11/2016;Domingo;2;07:02;26663;2952;6;178
55;DOUTOR ESTRANHO e a linha do tempo da MARVEL;11/11/2016;Sexta-Feira;5;07:47;82898;9723;40;363
56;ERRRROOOOUUUU...;13/11/2016;Domingo;2;03:16;26701;3680;8;204
57;GAME OF THRONES | Novidades da Sétima Temporada;15/11/2016;Terça-Feira;2;06:34;20490;2434;16;83
58;Animais Fantásticos e Onde Habitam | CRÍTICA SEM SPOILERS;18/11/2016;Sexta-Feira;3;07:56;17811;2493;10;89
59;A Chegada (Arrival) | CRÍTICA sem spoilers;25/11/2016;Sexta-Feira;7;08:11;16291;2388;5;179
60;THE FLASH | Quem é SAVITAR?;01/12/2016;Quinta-Feira;6;05:53;478447;28156;506;1233
61;GUARDIÕES DA GALÁXIA 2 TRAILER 2 | Análise;06/12/2016;Terça-Feira;5;08:27;68536;6197;26;220
62;Sobre os Trailers de Transformers e Homem Aranha;07/12/2016;Quarta-Feira;1;01:05;14777;1163;9;87
63;TRANSFORMERS 5 - O Último Cavaleiro TRAILER | ANÁLISE;08/12/2016;Quinta-Feira;1;10:18;258133;16797;142;1448
64;HOMEM-ARANHA 2017 | Trailer Comentado;11/12/2016;Domingo;3;08:07;76305;7569;34;391
65;ROGUE ONE | SEM SPOILERS;16/12/2016;Sexta-Feira;5;08:57;26481;3868;21;302
66;HOMEM-ARANHA | CORAÇÃO DE FERRO pode aparecer em HOMECOMING?;21/12/2016;Quarta-Feira;5;05:18;100686;11764;76;580
67;BLADE RUNNER 2049 TRAILER | ANÁLISE;23/12/2016;Sexta-Feira;2;06:08;17754;2359;8;111
68;OPERAÇÃO BIG HERO Foi Inspirada nos Quadrinhos;27/12/2016;Terça-Feira;4;09:18;52091;6096;24;188
69;TRANSFORMERS 2017 | MEGATRON é o Último Cavaleiro?;31/12/2016;Sábado;4;07:20;469647;30737;430;3316
70;THANOS | Origem;04/01/2017;Quarta-Feira;4;07:51;421327;38879;234;1078
71;RECOMENDAÇÕES DO CANAL!;08/01/2017;Domingo;4;04:07;28042;3667;21;228
72;TODOS OS ROBINS da DC | ORIGEM;13/01/2017;Sexta-Feira;5;10:59;589901;46388;422;3347
73;THE FLASH | Temp.03 Ep.09 - IRIS VAI MORRER?;19/01/2017;Quinta-Feira;6;05:40;98723;10725;79;615
74;THE FLASH | OS 5 VELOCISTAS MAIS PERIGOSOS;21/01/2017;Sábado;2;11:10;439010;37827;360;1416
75;LOGAN TRAILER 2 | Universo Paralelo?;24/01/2017;Terça-Feira;3;07:35;76471;9477;51;444
76;POWER RANGERS 2017 | Zordon é um Ranger Vermelho?;26/01/2017;Quinta-Feira;2;06:17;134807;13186;71;680
77;UNBOXING PRODUTOS GEEKS | CHICO REI;29/01/2017;Domingo;3;06:18;49234;8212;60;681
78;ADAM WARLOCK EM GUERRA INFINITA?;31/01/2017;Terça-Feira;2;07:46;320709;28284;148;938
79;BATMAN | POR QUE BEN AFFLECK NÃO VAI DIRIGIR O FILME??;02/02/2017;Quinta-Feira;2;04:56;58575;9178;34;551
80;TRANSFORMERS 2017 | TEASER SUPERBOWL - OPTIMUS DO MAL?;06/02/2017;Segunda-Feira;4;07:43;727141;22943;465;1570
81;PIRATAS DO CARIBE A VINGANÇA DE SALAZAR | TRAILER 2 REVIEW;07/02/2017;Terça-Feira;1;07:06;141672;8869;82;377
82;LIVROS PARA EXPLODIR SUA CABEÇA Vol.1;10/02/2017;Sexta-Feira;3;09:14;381011;35381;328;1167
83;CAPITÃ MARVEL | ORIGEM - Jujuba ATÔMICA;17/02/2017;Sexta-Feira;7;07:35;572052;49966;588;1233
84;JOIAS DO INFINITO | A Teoria THANOS;22/02/2017;Quarta-Feira;5;08:14;179220;20641;131;1131
85;THE FLASH | Temp.03 Ep.12 - O DESTINO DE JULIAN;23/02/2017;Quinta-Feira;1;05:39;57702;9067;41;695
86;STRANGER THINGS | Tudo sobre o novo TRAILER;26/02/2017;Domingo;3;08:47;84319;8973;68;420
87;MEGATRON | ORIGEM;02/03/2017;Quinta-Feira;4;10:03;274947;24701;145;939
88;LOGAN | Crítica (SEM SPOILERS);06/03/2017;Segunda-Feira;4;09:43;88640;12929;58;832
89;THE FLASH | Temp.03 Ep.13 - Ataque em Gorilla City;09/03/2017;Quinta-Feira;3;06:16;41996;5591;25;283
90;KONG - ILHA DA CAVEIRA | CRÍTICA;12/03/2017;Domingo;3;09:39;99088;10737;120;700
91;TRANSFORMERS 5 | TRAILER 3 - Megatron / Canopy e mini dinobots;14/03/2017;Terça-Feira;2;06:59;206547;16015;149;3463
92;THE FLASH | Temp.03 Ep.14 - UM NOVO VELOCISTA!;16/03/2017;Quinta-Feira;2;07:40;97877;9556;65;644
93;MULHER MARAVILHA | TRAILER 3;17/03/2017;Sexta-Feira;1;08:12;50906;8603;32;458
94;UNBOXING | NERD AO CUBO - Caixa 22 (Fevereiro 2017);19/03/2017;Domingo;2;17:30;79609;8883;78;583
