videoid,titulo,data,dia_semana,intervalo,duracao,views,curtidas,nao_curtidas,comentarios,conteudo,foco,tipo,grupo
1,STAR WARS TIE FIGHTER - Jujuba ATÔMICA,04/01/2016,Segunda-Feira,0,06:09,15918,2166,11,139,Resenha,Tie  Fighter,Animação,Star Wars
2,RESENHA As Cavernas de Aço (Isaac Asimov) - Jujuba ATÔMICA,29/01/2016,Sexta-Feira,25,06:13,22594,3245,4,74,Resenha,Robôs,Livro,Isaac Asimov
3,10 CURIOSIDADES sobre O DESPERTAR DA FORÇA,29/01/2016,Sexta-Feira,0,09:27,19749,2416,5,52,Lista,Despertar da Força,Filme,Star Wars
4,Tudo Sobre DEADPOOL,08/02/2016,Segunda-Feira,10,08:33,84428,7279,27,125,Origem,Deadpool,Personagem,Marvel
5,O Perigo da INTELIGÊNCIA ARTIFICIAL,29/02/2016,Segunda-Feira,21,07:52,84479,10970,67,486,Noticia,Inteligência Artificial,Matéria,Tecnologia
6,Harry Potter / Nasa / Time Trap - Jujuba NEWS,10/03/2016,Quinta-Feira,10,04:50,1610,256,2,8,Noticia,Vários,Matéria,Outros
7,RESENHA Ruas Estranhas (George R. R. Martin) - Jujuba ATÔMICA,21/03/2016,Segunda-Feira,11,11:03,27796,3401,12,91,Resenha,Ruas Estranhas,Livro,George R. R. Martin
8,Tudo Sobre Rogue One: Uma História Star Wars | Jujuba ATÔMICA,25/03/2016,Sexta-Feira,4,09:02,7479,791,2,22,Preview,Rogue One,Filme,Star Wars
9,Batman v Superman REVIEW (SEM SPOILERS),01/04/2016,Sexta-Feira,7,07:59,26230,3030,24,207,Review,Batman x Superman,Filme,DC Comics
10,Teaser Rogue One: Uma História Star Wars (COMENTADO) | Jujuba ATÔMICA,08/04/2016,Sexta-Feira,7,11:35,3716,371,0,16,Preview,Rogue One,Filme,Star Wars
11,Trailer Esquadrão Suicida (COMENTADO) | Jujuba ATÔMICA,15/04/2016,Sexta-Feira,7,11:30,45315,5228,73,395,Preview,Esquadrão Suicida,Filme,DC Comics
12,10 Curiosidades Sobre STAR TREK,21/04/2016,Quinta-Feira,6,12:43,82972,9092,81,395,Lista,Star Trek,Série,Star Trek
13,Capitão América: Guerra Civil (REVIEW SEM SPOILERS),29/04/2016,Sexta-Feira,8,09:59,33255,3439,48,263,Review,Guerra Civil,Filme,Marvel
14,Teorias de Game of Thrones,06/05/2016,Sexta-Feira,7,14:35,25806,2562,8,213,Teoria,Game Of Thrones,Série,George R. R. Martin
15,Cena do FLASH (EXPLICADA),14/05/2016,Sábado,8,11:06,445738,35536,349,1697,Explicação,Batman x Superman,Filme,DC Comics
16,Game of Thrones - quinto episódio - sexta temporada (COMENTÁRIOS) | Jujuba ATÔMICA,23/05/2016,Segunda-Feira,9,06:33,5405,450,2,103,Review,Game Of Thrones,Série,George R. R. Martin
17,A GUERRA DOS MUNDOS de ORSON WELLES,27/05/2016,Sexta-Feira,4,09:27,63855,8101,28,303,Resenha,Ficção Científica,Rádio,Orson Welles
18,Game of Thrones - sexto episódio - sexta temporada (COMENTÁRIOS) | Jujuba ATÔMICA,30/05/2016,Segunda-Feira,3,08:52,4022,415,2,64,Review,Game Of Thrones,Série,George R. R. Martin
19,Cena do CYBORG (EXPLICADA),04/06/2016,Sábado,5,07:36,215793,18534,106,524,Explicação,Batman x Superman,Filme,DC Comics
20,Game of Thrones - sétimo episódio - sexta temporada (COMENTÁRIOS) | Jujuba ATÔMICA,06/06/2016,Segunda-Feira,2,07:59,4922,485,1,74,Review,Game Of Thrones,Série,George R. R. Martin
21,Game of Thrones - oitavo episódio - sexta temporada (COMENTÁRIOS) | Jujuba ATÔMICA,13/06/2016,Segunda-Feira,7,13:12,4744,544,2,92,Review,Game Of Thrones,Série,George R. R. Martin
22,Como STEVEN SPIELBERG inventou o BLOCKBUSTER,17/06/2016,Sexta-Feira,4,11:58,38092,5578,23,169,Resenha,Steven Spielberg,Filme,Steven Spielberg
23,Game of Thrones - episódio 9 - sexta temporada (COMENTÁRIOS) | Jujuba ATÔMICA,20/06/2016,Segunda-Feira,3,14:55,12422,877,6,117,Review,Game Of Thrones,Série,George R. R. Martin
24,Independence Day Resurgence REVIEW (SEM SPOILERS) | Jujuba ATÔMICA,24/06/2016,Sexta-Feira,4,11:36,18616,2477,5,186,Review,Independence Day,Filme,Fox
25,Game of Thrones temporada 6 - episódio 10 (REVIEW) | Jujuba ATÔMICA,27/06/2016,Segunda-Feira,3,18:50,14966,1129,13,168,Review,Game Of Thrones,Série,George R. R. Martin
26,DOUTOR ESTRANHO | Origem,03/07/2016,Domingo,6,17:51,184950,16610,116,473,Origem,Dr. Estranho,Personagem,Marvel
27,AS JOIAS DO INFINITO,08/07/2016,Sexta-Feira,5,14:49,401624,41250,208,1267,Origem,Joias do Infinito,Personagem,Marvel
28,Onde Está o Gendry? | GAME OF THRONES,14/07/2016,Quinta-Feira,6,11:15,14933,1134,28,167,Teoria,Game Of Thrones,Série,George R. R. Martin
29,Tudo Sobre o ESQUADRÃO SUICIDA,23/07/2016,Sábado,9,15:07,54570,5332,32,177,Origem,Esquadrão Suicida,Filme,DC Comics
30,LIGA DA JUSTIÇA | Trailer Comentado,29/07/2016,Sexta-Feira,6,14:06,148299,11506,62,550,Preview,Liga da Justiça,Filme,DC Comics
31,Trailer MULHER MARAVILHA 1 (Comentado),02/08/2016,Terça-Feira,4,11:40,21451,2742,5,169,Preview,Mulher Maravilha,Filme,DC Comics
32,ESQUADRÃO SUICIDA (Análise SEM SPOILERS),06/08/2016,Sábado,4,12:28,32009,3871,56,612,Review,Esquadrão Suicida,Filme,DC Comics
33,ROGUE ONE Trailer 1 (COMENTADO),13/08/2016,Sábado,7,11:01,6071,1054,2,139,Preview,Rogue One,Filme,Star Wars
34,DAENERYS TARGARYEN | GAME OF THRONES,16/08/2016,Terça-Feira,3,11:46,9261,1167,2,99,Origem,Daenerys Targaryen,Série,George R. R. Martin
35,NIKOLA TESLA,21/08/2016,Domingo,5,12:10,153665,24901,61,1539,Origem,Nikola Tesla,Personalidade,Nikola Tesla
36,THOR RAGNAROK - Fotos do Set e Teorias,26/08/2016,Sexta-Feira,5,09:15,105832,9138,47,433,Teoria,Thor,Filme,Marvel
37,Cena do EXTERMINADOR (DEATHSTROKE),30/08/2016,Terça-Feira,4,04:52,66561,6819,18,468,Explicação,Deathstroke,Filme,DC Comics
38,Star Trek Sem Fronteiras | REVIEW (SEM SPOILERS),02/09/2016,Sexta-Feira,3,09:37,15960,2297,6,158,Review,Star Trek,Filme,Star Trek
39,Tudo sobre o EXTERMINADOR (DEATHSTROKE),06/09/2016,Terça-Feira,4,08:07,284956,30867,170,823,Origem,Deathstroke,Personagem,DC Comics
40,STRANGER THINGS Segunda Temporada (Notícias e Teorias),10/09/2016,Sábado,8,12:46,73746,6514,46,457,Teoria,Stranger Thinghs,Série,Netflix
41,Todas as Tropas de LANTERNAS da DC,16/09/2016,Sexta-Feira,10,14:31,705216,69296,499,1750,Origem,Tropas dos Lanternas,Personagem,DC Comics
42,TYRION LANNISTER | GAME OF THRONES,25/09/2016,Domingo,15,11:24,13508,1735,8,153,Origem,Tyrion Lanister,Série,George R. R. Martin
43,LUKE CAGE | ORIGEM,30/09/2016,Sexta-Feira,14,08:39,90511,9071,48,265,Origem,Luke Cage,Personagem,Marvel
44,PIRATAS DO CARIBE: A Vingança de Salazar TEASER TRAILER (REVIEW),04/10/2016,Terça-Feira,9,07:04,77884,5710,55,377,Preview,Piratas do Caribe,Filme,Disney
45,LIGA DA JUSTIÇA Cenas do SET liberadas por ZACK SNYDER (ANÁLISE),08/10/2016,Sábado,8,08:01,157299,12428,141,653,Preview,Liga da Justiça,Filme,DC Comics
46,POWER RANGERS 2017 Teaser | COMENTADO,11/10/2016,Terça-Feira,7,07:23,73875,6807,38,402,Preview,Power Rangers,Filme,Lionsgate
47,PUNHO DE FERRO (Origem) | Estreia da NETFLIX,14/10/2016,Sexta-Feira,6,08:38,140089,13347,76,456,Origem,Punho de Ferro,Personagem,Marvel
48,ROGUE ONE Trailer 2 | REVIEW,16/10/2016,Domingo,5,09:21,7049,1220,4,199,Preview,Rogue One,Filme,Star Wars
49,GUARDIÕES DA GALÁXIA 2 Teaser | ANÁLISE,20/10/2016,Quinta-Feira,6,08:16,19740,2667,6,264,Preview,Guardiões da Galáxia,Filme,Marvel
50,Trailer LOGAN | ANÁLISE,26/10/2016,Quarta-Feira,10,11:17,80651,7746,18,366,Preview,Wolverine,Filme,Marvel
51,O Homem Que Caiu na Terra | RESENHA,28/10/2016,Sexta-Feira,8,07:45,35407,4736,10,182,Resenha,Ficção Científica,Livro,Walter Tevis
52,DOUTOR ESTRANHO Crítica,04/11/2016,Sexta-Feira,9,08:22,48303,4920,32,242,Review,Dr. Estranho,Filme,Marvel
53,MULHER MARAVILHA Trailer 2 | ANÁLISE,06/11/2016,Domingo,9,07:02,26663,2952,6,178,Preview,Mulher Maravilha,Filme,DC Comics
54,ERRRROOOOUUUU...,13/11/2016,Domingo,9,03:16,26701,3680,8,204,Explicação,Dr. Estranho,Filme,Marvel
55,GAME OF THRONES | Novidades da Sétima Temporada,15/11/2016,Terça-Feira,9,06:34,20490,2434,16,83,Noticia,Game Of Thrones,Série,George R. R. Martin
56,Animais Fantásticos e Onde Habitam | CRÍTICA SEM SPOILERS,18/11/2016,Sexta-Feira,5,07:56,17811,2493,10,89,Review,Animais Fantásticos,Filme,J. K. Rowling
